OBJECTID,NAME,OWNER_NAME,CLASSIFICATION,TYPE,AREA_HA,ZONING_CODE
16,Beverly Community Park,HAMILTON CITY,City Wide,Sports,24.6477,P3
17,Little John Park,HAMILTON CITY,Neighbourhood,Passive,1.1655,P1
18,Confederation Beach Park,HAMILTON CITY,City Wide,Waterfront,96.4974,P3
19,Hill Street Park/lots,HAMILTON CITY,Neighbourhood,Active,0.9847,P1
20,Warren Park,HAMILTON CITY,Natural Open Space,Natural (T),2.7981,P5
21,Dean Vista Park,CITY OF HAMILTON,Natural Open Space,,2.9264,P5
22,Museum Of Steam & Technology,TRANSPORTATION MINISTRY,Museum,Miscellaneous,1.0707,
23,Centennial Heights Park,HAMILTON CITY,Community,Sports,2.9343,P2
24,Freelton Community Park,HAMILTON CITY,Community,Sports,1.0013,P2
25,Riverwalk Park,HAMILTON CITY,Parkette,Passive,0.3457,P1
26,Wildan Tot Lot,HAMILTON CITY,Parkette,Passive,0.2043,P1
27,Courtcliffe Park Open Space,HAMILTON CITY,Natural Open Space,Sports,23.5776,P5
28,Woodlot Royal Conservatory,HAMILTON CITY,Natural Open Space,Natural (T),10.2253,P5
29,Courtcliffe Community Park,HAMILTON CITY,City Wide,,16.6762,P3
57,Lucy Day Park,HAMILTON CITY,Parkette,Active,0.3,P1
58,Lynden Legion Park,HAMILTON CITY,Community,Sports,3.2378,P2
59,Lynden Lions South,HAMILTON CITY,Community,Miscellaneous (T),3.7737,P2
60,Jerseyville Park,HAMILTON CITY,Neighbourhood,Sports,2.0064,P1
61,Ancaster Senior's Achievement Centre Park,HAMILTON CITY,Community,Sports,1.6185,P2
62,Fieldcote Memorial Park,HAMILTON CITY,Museum,Historical,2.829,
63,Stoneham Park,HAMILTON CITY,Parkette,Passive,0.4955,P1
64,Arrowhon Natural Area,HAMILTON CITY,Natural Open Space,Natural (T),3.0408,P5
65,Waterdown Memorial Park,HAMILTON CITY,Community,Sports,7.1205,P2
66,Jackie Washington Park,CITY OF HAMILTON,Neighbourhood,,1.9772,P1
67,Benetto Rec Center,CITY OF HAMILTON,Neighbourhood,,1.0558,P1
68,Bayview Playground,HAMILTON CITY,Parkette,Active,0.4583,P1
69,Simcoe Tot Lot,HAMILTON CITY,Parkette,Passive,0.3421,P1
70,Eastwood Park,HAMILTON CITY,Community,Sports,5.9537,P2
71,Kinsmen Park,HAMILTON CITY,Neighbourhood,Active,0.4534,P1
72,Mclaren Park,HAMILTON CITY,Parkette,Active,0.3303,P1
73,Ferrie Street Lot,HAMILTON CITY,Parkette,Passive,0.2997,P1
74,Skyway Park,HAMILTON CITY,Parkette,Active,0.2197,P1
75,Rockview Summit,HAMILTON CITY,Parkette,Passive,0.6065,P1
76,Valley Community Centre Park,HAMILTON CITY,Community,Sports,4.0461,P2
77,Edwards Memorial Park,HAMILTON CITY,Neighbourhood,Sports,1.0996,P1
78,Dundurn Park,HAMILTON CITY,Museum,Historical,11.524,
79,York Blvd General Open Space,HAMILTON CITY,General Open Space,,2.2247,P4
30,Carlisle Memorial Park,HAMILTON CITY,Neighbourhood,Sports,0.8825,P1
