X,Y,OBJECTID,NAME,ADDRESS,OWNER,PHONE,WARD,COMMUNITY,LONGITUDE,LATITUDE
594793.017699999734759,4786940.455299999565,24,Highview Park,879 Brucedale Avenue East,City of Hamilton,905-546-CITY(2489),6,Hamilton,-79.83266954435612,43.22930301913038
595130.936599999666214,4786036.069299999624,25,Huntington Park (Recreation Centre),40 Broker Drive,City of Hamilton,905-546-CITY(2489),6,Hamilton,-79.82866500913968,43.22111843400861
594973.120500000193715,4784857.9744,26,Lisgar Park,95 Carson Drive,City of Hamilton,905-546-CITY(2489),6,Hamilton,-79.83081045912742,43.21053207497152
593655.855499999597669,4786303.2565,27,Macassa Park,777 Upper Sherman Avenue,City of Hamilton,905-546-CITY(2489),6,Hamilton,-79.84677851335114,43.22370840303346
593803.027499999850988,4784027.7716,28,Mount Lions Park,450 Queen Victoria Drive,City of Hamilton,905-546-CITY(2489),6,Hamilton,-79.8453532873581,43.20320411182823
593855.593000000342727,4783299.027799999341,29,Templemead Park,30 Independence Drive,City of Hamilton,905-546-CITY(2489),6,Hamilton,-79.84483016991646,43.19663674279258
595276.871000000275671,4783874.2135,30,Trenholme Park,135 Trenholme Crescent,City of Hamilton,905-546-CITY(2489),6,Hamilton,-79.82724153225259,43.20163712468455
593507.947399999946,4787693.737099999562,31,Eastmount Park,115 East 26th Street,City of Hamilton,905-546-CITY(2489),7,Hamilton,-79.84836370634126,43.236245111280034
592981.35190000012517,4783469.662599999458,32,Eleanor Park,80 Presido Drive,City of Hamilton,905-546-CITY(2489),7,Hamilton,-79.85555945668587,43.198281094772994
591347.656999999657273,4783992.7357,33,Elmar Park,140 Brigade Drive,City of Hamilton,905-546-CITY(2489),7,Hamilton,-79.87557711549961,43.20318970382388
592295.515599999576807,4784719.823699999601,34,Rushdale Park,130 Southpark Avenue,City of Hamilton,905-546-CITY(2489),7,Hamilton,-79.86379040412275,43.20962041306697
588344.69510000012815,4785979.9568,35,Gilkson Park,50 Gemini Drive,City of Hamilton,905-546-CITY(2489),8,Hamilton,-79.91221677637277,43.221438216155754
589336.372700000181794,4785656.830299999565,36,Gourley Park,142 Duncairn Crescent,City of Hamilton,905-546-CITY(2489),8,Hamilton,-79.90006080259943,43.21841233619802
589199.325699999928,4783845.434599999338,37,Kennedy East Park,130 Malton Drive,City of Hamilton,905-546-CITY(2489),8,Hamilton,-79.90204047012945,43.20212036673008
587249.393799999728799,4787947.798,38,Mountview Park,115 San Antonio Drive,City of Hamilton,905-546-CITY(2489),8,Hamilton,-79.9253895719864,43.23928239742655
587680.357300000265241,4786039.42119999975,39,Shawinigan Park,1 Guildwood Drive,City of Hamilton,905-546-CITY(2489),8,Hamilton,-79.92038585304468,43.22205106329347
588707.19620000012219,4786833.88,40,William McCulloch Park,200 Bonaventure Drive,City of Hamilton,905-546-CITY(2489),8,Hamilton,-79.90761683251046,43.22908364343807
595000.519399999640882,4788476.4567,41,Gage Park,1000 Main Street East,City of Hamilton,905-546-CITY(2489),3,Hamilton,-79.82985017923772,43.243105288198706
592199.414900000207126,4783554.2138,42,Billy Sherring Park,1530 Upper Sherman Avenue,City of Hamilton,905-546-CITY(2489),7,Hamilton,-79.86516778869718,43.19913817147278
592918.914699999616,4789787.5623,43,Jack C. Beemer Park,68 Victoria Avenue North,City of Hamilton,905-546-CITY(2489),3,Hamilton,-79.85526379318412,43.255168409908144
588996.928999999538064,4790847.462899999693,44,Churchill Park,250 Glen Road,City of Hamilton,905-546-CITY(2489),1,Hamilton,-79.90340147757908,43.265184003898526
593381.853699999861419,4785291.605399999768,45,Lawfield Park,150 Folkstone Avenue,City of Hamilton,905-546-CITY(2489),7,Hamilton,-79.85032289403188,43.21463453955124
